book_slug,title,subtitle,isbn,publication_year,language,description,cover_image,copies_total,is_available
strasidlo-cantervillske,Strašidlo cantervillské,,9788000000020,2013,cs,"Humorný příběh o americké rodině, která se nastěhuje do anglického zámku s duchem. Satira zesměšňuje tradiční strašidelné motivy.",,2,true
zlocin-lorda-arthura-savila,Zločin lorda Arthura Savila,,9788000000021,2013,cs,"Ironická povídka o mladíkovi, který se rozhodne spáchat zločin, aby naplnil věštbu. Dílo si pohrává s osudem a morálkou.",,2,true
jak-je-dulezite-miti-filipa,Jak je důležité míti Filipa,,9788000000022,2006,cs,"Brilantní konverzační komedie o záměnách identity a společenských konvencích viktoriánské Anglie.",,2,true
milacek,Miláček,,9788000000023,2009,cs,"Román o ambiciózním mladíkovi, který využívá ženy k vlastnímu společenskému vzestupu. Kritický obraz pařížské společnosti 19. století.",,2,true
kulicka,Kulička,,9788000000024,2012,cs,"Povídka o skupině cestujících během prusko-francouzské války. Ukazuje pokrytectví a morální slabost společnosti.",,2,true
pycha-a-predsudek,Pýcha a předsudek,,9788000000025,2018,cs,"Román o vztahu Elizabeth Bennetové a pana Darcyho. Příběh analyzuje předsudky, společenské rozdíly a hledání pravé lásky.",,2,true
rozum-a-cit,Rozum a cit,,9788000000026,2017,cs,"Příběh dvou sester, které se rozdílně vyrovnávají s láskou a společenskými pravidly. Román kontrastuje citovost a racionalitu.",,2,true
maj,Máj,,9788000000027,2010,cs,"Lyricko-epická báseň o tragické lásky a vině. Dílo je vrcholem českého romantismu a klade důraz na přírodu a osud.",,2,true
kytice,Kytice,,9788000000028,2011,cs,"Sbírka balad inspirovaných lidovými pověstmi. Příběhy často končí tragicky a zdůrazňují morální zákon a osud.",,2,true
krest-svateho-vladimira,Křest svatého Vladimíra,,9788000000029,2006,cs,"Satirická báseň kritizující absolutismus a církevní moc. Autor využívá humor a ironii.",,2,true
tyrolske-elegie,Tyrolské elegie,,9788000000030,2006,cs,"Satirická skladba reagující na autorovo vyhnanství. Dílo kritizuje politické poměry habsburské monarchie.",,2,true
kral-lavra,Král Lávra,,9788000000031,2006,cs,"Satirická báseň inspirovaná lidovou pověstí o králi s oslíma ušima. Kritika panovnické moci a pokrytectví.",,2,true
povidky-malostranske,Povídky malostranské,,9788000000032,2014,cs,"Soubor realistických povídek zachycujících život obyvatel pražské Malé Strany. Autor vykresluje drobné lidské osudy s ironií i pochopením.",,2,true
marysa,Maryša,,9788000000033,2007,cs,"Obsah díla",,2,true
babicka,Babička,,9788000000034,2016,cs,"Román zachycující idylické dětství na venkově a moudrost titulní babičky. Dílo oslavuje rodinné hodnoty, tradice a harmonii s přírodou.",,2,true
diva-bara,Divá Bára,,9788000000035,2013,cs,"Příběh svérázné dívky, kterou vesnice odmítá pro její odlišnost. Novela ukazuje předsudky a sílu osobní odvahy.",,2,true
karla,Karla,,9788000000036,2013,cs,"Povídka o mladé ženě, která se musí vyrovnat s těžkým osudem. Dílo zachycuje citové napětí i společenské omezení doby.",,2,true
gazdina-roba,Gazdina roba,,9788000000037,2009,cs,"Drama o ženě, která se vzepře tradičním společenským pravidlům. Tragický příběh zdůrazňuje konflikt mezi citem a konvencí.",,2,true
tulak-po-hvezdach,Tulák po hvězdách,,9788000000038,2002,cs,"Román o vězni odsouzeném k samotce, který ve své mysli prožívá minulé životy. Dílo spojuje dobrodružství s filozofickými úvahami o svobodě.",,2,true
pes-baskervillsky,Pes baskervillský,,9788000000039,2017,cs,"Detektivní román se Sherlockem Holmesem, který vyšetřuje záhadná úmrtí spojená s legendou o strašidelném psu. Příběh kombinuje napětí a logickou dedukci.",,2,true
ztraceny-svet,Ztracený svět,,9788000000040,2005,cs,"Dobrodružný román o výpravě do neprobádané oblasti, kde přežívají pravěcí tvorové. Příběh spojuje vědu, odvahu a fantazii.",,2,true
pygmalion,Pygmalion,,9788000000041,2004,cs,"Drama o jazykovědci, který se pokusí proměnit prostou květinářku v dámu vyšší společnosti. Hra zkoumá otázky identity a společenských předsudků.",,2,true
na-zapadni-fronte-klid,Na západní frontě klid,,9788000000042,2014,cs,"Protiválečný román o mladých vojácích na frontě první světové války. Dílo realisticky zobrazuje hrůzy války a ztrátu iluzí.",,2,true
nepritel,Nepřítel,,9788000000043,2012,cs,"Román zachycující tragický osud jednotlivce v období války a okupace. Dílo klade důraz na morální dilemata a lidskou odpovědnost.",,2,true
petr-a-lucie,Petr a Lucie,,9788000000044,2008,cs,"Krátký román o lásce dvou mladých lidí během první světové války. Tragický příběh zdůrazňuje kontrast mezi citem a válečnou realitou.",,2,true
maly-princ,Malý princ,,9788000000045,2015,cs,"Filozofická pohádka o chlapci z jiné planety, který poznává svět dospělých. Dílo zdůrazňuje hodnotu přátelství, lásky a odpovědnosti.",,2,true
hobit,Hobit,,9788000000046,2012,cs,"Fantasy román o hobitovi Bilbu Pytlíkovi, který se vydává na nečekanou výpravu za pokladem. Příběh je plný dobrodružství, kouzel a odvahy.",,2,true
spolecenstvo-prstenu-1-dil,Společenstvo prstenu (1. díl),,9788000000047,2011,cs,"První díl epické fantasy ságy o putování za zničením mocného prstenu. Příběh sleduje boj dobra se zlem ve světě Středozemě.",,2,true
jeden-den-ivana-denisovice,Jeden den Ivana Děnisoviče,,9788000000048,2009,cs,"Novela zobrazující jeden den vězně v sovětském pracovním táboře. Dílo realisticky zachycuje tvrdé podmínky a lidskou důstojnost.",,2,true
o-mysich-a-lidech,O myších a lidech,,9788000000049,2016,cs,"Příběh dvou dělníků snících o vlastním domově během hospodářské krize. Tragický závěr zdůrazňuje křehkost lidských snů.",,2,true
starec-a-more,Stařec a moře,,9788000000050,2014,cs,"Novela o starém rybáři, který svádí vyčerpávající boj s obrovskou rybou. Příběh je podobenstvím o vytrvalosti a lidské hrdosti.",,2,true
jak-jsem-vyhral-valku,Jak jsem vyhrál válku,,9788000000051,2005,cs,"Satirický román o absurdních situacích během druhé světové války. Dílo zesměšňuje vojenskou byrokracii a hrdinství.",,2,true
ja-robot,"Já, robot",,9788000000052,2004,cs,"Soubor povídek o robotech a jejich vztahu k lidem. Kniha formuluje tři zákony robotiky a zkoumá etické otázky techniky.",,2,true
piknik-u-cesty,Piknik u cesty,,9788000000053,2011,cs,"Sci-fi román o tajemné Zóně, kde mimozemšťané zanechali nepochopitelné předměty. Příběh sleduje pašeráka, který riskuje život při jejich získávání.",,2,true
na-ceste,Na cestě,,9788000000054,2010,cs,"Obsah díla",,2,true
tramvaj-do-stanice-touha,Tramvaj do stanice Touha,,9788000000055,2006,cs,"Psychologické drama o střetu iluzí a reality v životě Blanche DuBoisové. Hra zobrazuje napětí mezi citlivostí a brutalitou moderního světa.",,2,true
plesata-zpevacka,Plešatá zpěvačka,,9788000000056,2007,cs,"Absurdní drama zobrazující prázdnotu a nesmyslnost lidské komunikace. Dialogy postav postupně ztrácejí logiku i význam.",,2,true
sophiina-volba,Sophiina volba,,9788000000057,2008,cs,"Román o ženě poznamenané hrůzami koncentračního tábora. Příběh odhaluje tragické tajemství její minulosti a morální dilema.",,2,true
denik-anny-frankove,Deník Anny Frankové,,9788000000058,2016,cs,"Autentický deník židovské dívky skrývající se před nacisty. Text zachycuje dospívání, naději i strach během okupace.",,2,true
vrazda-rogera-ackroyda,Vražda Rogera Ackroyda,,9788000000059,2013,cs,"Detektivní román s Herculem Poirotem, který vyšetřuje záhadnou vraždu v anglickém venkovském sídle. Dílo je známé překvapivým rozuzlením.",,2,true
vyhodme-ho-z-kola-ven,Vyhoďme ho z kola ven,,9788000000060,2012,cs,"Román o pacientovi psychiatrické léčebny, který se vzepře autoritativnímu systému. Příběh je kritikou manipulace a potlačování individuality.",,2,true
alchymista,Alchymista,,9788000000061,2014,cs,"Příběh pastýře, který se vydává hledat poklad a objevuje smysl vlastního života. Román zdůrazňuje odvahu následovat své sny.",,2,true
smrt-je-mym-remeslem,Smrt je mým řemeslem,,9788000000062,2010,cs,"Román inspirovaný skutečnou postavou velitele koncentračního tábora. Dílo analyzuje mechanismus poslušnosti a zla v totalitním systému.",,2,true
kmotr,Kmotr,,9788000000063,2015,cs,"Román o mafiánské rodině Corleonů a jejím boji o moc. Příběh zkoumá loajalitu, rodinu a cenu moci.",,2,true
den-trifidu,Den trifidů,,9788000000064,2007,cs,"Postapokalyptický román o světě, kde většina lidstva oslepne a lidé čelí útoku nebezpečných rostlin. Příběh sleduje boj o přežití.",,2,true
dobra-znameni,Dobrá znamení,,9788000000065,2019,cs,"Humorný fantasy román o blížícím se konci světa, který se snaží zabránit anděl a démon. Příběh kombinuje satiru a nadpřirozené prvky.",,2,true
stoparuv-pruvodce-galaxii,Stopařův průvodce Galaxií,,9788000000066,2012,cs,"Sci-fi komedie o muži, který po zničení Země cestuje vesmírem. Dílo spojuje absurdní humor s parodií na vědeckou fantastiku.",,2,true
lolita,Lolita,,9788000000067,2009,cs,"Psychologický román vyprávěný z pohledu muže posedlého dospívající dívkou. Dílo je známé svou jazykovou propracovaností a kontroverzním tématem.",,2,true
pan-much,Pán much,,9788000000068,2011,cs,"Román o skupině chlapců, kteří ztroskotají na ostrově a postupně ztrácejí civilizační zábrany. Dílo analyzuje temné stránky lidské povahy.",,2,true
farma-zvirat,Farma zvířat,,9788000000069,2017,cs,"Alegorická novela o zvířatech, která svrhnou svého pána a nastolí vlastní vládu. Dílo kritizuje totalitní režimy.",,2,true
1984,1984,,9788000000070,2021,cs,"Dystopický román o společnosti ovládané totalitní mocí a neustálým dohledem. Příběh varuje před manipulací pravdy a ztrátou svobody.",,2,true
martanska-kronika,Marťanská kronika,,9788000000071,2010,cs,"Soubor propojených příběhů o kolonizaci Marsu lidmi. Dílo reflektuje lidskou civilizaci, osamělost i střet kultur.",,2,true
451-stupnu-fahrenheita,451 stupňů Fahrenheita,,9788000000072,2018,cs,"Dystopický román o světě, kde jsou knihy zakázány a páleny. Příběh sleduje hasiče, který začne pochybovat o systému.",,2,true
velky-gatsby,Velký Gatsby,,9788000000073,2013,cs,"Román o tajemném milionáři Jayi Gatsbym a jeho nenaplněné lásce. Dílo zachycuje iluze a morální prázdnotu amerických dvacátých let.",,2,true
vsechno-je-definitivni,Všechno je definitivní,,9788000000074,2016,cs,"Obsah díla",,2,true
carrie,Carrie,,9788000000075,2019,cs,"Hororový román o dospívající dívce s telekinetickými schopnostmi, která je šikanována okolím. Tragický příběh vyústí v ničivou pomstu.",,2,true
zaklinac-i-posledni-prani,Zaklínač I – Poslední přání,,9788000000076,2011,cs,"Soubor příběhů o zaklínači Geraltovi z Rivie, který loví nestvůry ve světě plném magie a politických intrik. Kniha propojuje fantasy s morálními dilematy.",,2,true
pisen-ledu-a-ohne-hra-o-truny,Píseň ledu a ohně – Hra o trůny,,9788000000077,2011,cs,"První díl epické fantasy ságy o boji šlechtických rodů o moc. Příběh kombinuje politické intriky, válku a nadpřirozené prvky.",,2,true
cizinec,Cizinec,,9788000000078,2018,cs,"Román o muži, který bez zjevného citového pohnutí spáchá vraždu. Dílo zkoumá absurditu lidské existence a odcizení.",,2,true
vsechny-rite-sveta-i-ta-ma,Všechny řitě světa i ta má,,9788000000079,2010,cs,"Sbírka básní reflektující osobní i společenská témata s výraznou ironií a jazykovou hravostí.",,2,true
krysar,Krysař,,9788000000080,2006,cs,"Novela inspirovaná starou pověstí o tajemném muži, který vyvede z města krysy i děti. Dílo zobrazuje manipulaci davu a pomstu.",,2,true
mesice,Měsíce,,9788000000081,2002,cs,"Básnická sbírka zachycující proměny nálad a času v průběhu roku. Autor propojuje přírodní motivy s osobní reflexí.",,2,true
slezske-pisne,Slezské písně,,9788000000082,2009,cs,"Sbírka básní reagujících na sociální a národnostní útlak ve Slezsku. Verše vyjadřují vzdor i bolest.",,2,true
osudy-dobreho-vojaka-svejka-za-svetove-valky-1-dil,Osudy dobrého vojáka Švejka za světové války (1.díl),,9788000000083,2015,cs,"Satirický román o prostém vojákovi, který svým zdánlivým hlupáctvím odhaluje absurditu války a byrokracie.",,2,true
nikola-suhaj-loupeznik,Nikola Šuhaj loupežník,,9788000000084,2011,cs,"Román inspirovaný skutečnou postavou z Podkarpatské Rusi. Příběh líčí osud zbojníka i atmosféru horského kraje.",,2,true
krakatit,Krakatit,,9788000000085,2016,cs,"Román o vynálezu výbušniny s ničivou silou. Dílo varuje před zneužitím vědeckých objevů.",,2,true
valka-s-mloky,Válka s mloky,,9788000000086,2014,cs,"Satirický román o objevu inteligentních mloků, kteří se vzbouří proti lidstvu. Dílo kritizuje kolonialismus a bezohledný pokrok.",,2,true
rur,RUR,,9788000000087,2010,cs,"Drama o výrobě umělých lidí – robotů, kteří se vzbouří proti svým tvůrcům. Hra nastoluje otázky humanity a technického pokroku.",,2,true
povidky-z-prvni-a-druhe-kapsy,Povídky z první a druhé kapsy,,9788000000088,2013,cs,"Soubor detektivně laděných povídek s důrazem na logiku a morální pointu. Autor propojuje humor a napětí.",,2,true
bila-nemoc,Bílá nemoc,,9788000000089,2011,cs,"Drama o smrtelné epidemii a diktátorovi, který odmítá mír. Dílo je varováním před totalitní mocí.",,2,true
osel-a-stin,Osel a stín,,9788000000090,2008,cs,"Satirická komedie o sporu o oslí stín, který přeroste v absurdní konflikt. Hra zesměšňuje lidskou malichernost.",,2,true
rozmarne-leto,Rozmarné léto,,9788000000091,2015,cs,"Krátký román o třech mužích a jejich letním setkání s kouzelníkem a jeho asistentkou. Dílo je psáno poetickým jazykem s jemnou ironií.",,2,true
bylo-nas-pet,Bylo nás pět,,9788000000092,2014,cs,"Humoristický román vyprávěný očima chlapce z maloměsta. Kniha zachycuje dětský svět s nadsázkou i nostalgií.",,2,true
manon-lescaut,Manon Lescaut,,9788000000093,2004,cs,"Veršované drama o tragické lásce rytíře des Grieux a krásné Manon. Příběh zdůrazňuje konflikt mezi vášní a morálkou.",,2,true
promena,Proměna,,9788000000094,2012,cs,"Novela o muži, který se jednoho dne probudí jako hmyz. Dílo symbolicky vyjadřuje odcizení a izolaci.",,2,true
saturnin,Saturnin,,9788000000095,2019,cs,"Humoristický román o svérázném sluhovi, který převrátí život svého pána naruby. Kniha je plná situačního humoru a ironie.",,2,true
zbabelci,Zbabělci,,9788000000096,2010,cs,"Román zachycující poslední dny druhé světové války pohledem mladého hrdiny. Dílo reflektuje deziluzi a generační zkušenost.",,2,true
prima-sezona,Prima sezóna,,9788000000097,2008,cs,"Obsah díla",,2,true
tankovy-prapor,Tankový prapor,,9788000000098,2013,cs,"Satirický román z prostředí československé armády 50. let. Autor s humorem líčí absurditu vojenského režimu a lidskou malost.",,2,true
spalovac-mrtvol,Spalovač mrtvol,,9788000000099,2014,cs,"Psychologický román o zaměstnanci krematoria, který podlehne nacistické ideologii. Dílo zobrazuje postupnou proměnu obyčejného člověka v nástroj zla.",,2,true
audience,Audience,,9788000000100,2006,cs,"Jednoaktové absurdní drama o spisovateli a jeho nadřízeném v pivovaru. Dialog odhaluje manipulaci a tlak totalitního režimu.",,2,true
smesne-lasky,Směšné lásky,,9788000000101,2011,cs,"Soubor povídek o mezilidských vztazích, lásce a iluzích. Autor s ironií analyzuje city i jejich proměnlivost.",,2,true
modlitba-pro-katerinu-horovitzovou,Modlitba pro Kateřinu Horovitzovou,,9788000000102,2013,cs,"Novela z prostředí druhé světové války o skupině vězňů, kteří si kupují falešnou naději na záchranu. Dílo zdůrazňuje tragiku lidského osudu.",,2,true
romeo-julie-a-tma,"Romeo, Julie a tma",,9788000000103,2012,cs,"Příběh lásky českého chlapce a židovské dívky během nacistické okupace. Tragický osud zdůrazňuje krutost doby.",,2,true
ostre-sledovane-vlaky,Ostře sledované vlaky,,9788000000104,2016,cs,"Novela z období druhé světové války sleduje dospívání mladého výpravčího. Příběh kombinuje humor, erotiku i tragiku.",,2,true
obsluhoval-jsem-anglickeho-krale,Obsluhoval jsem anglického krále,,9788000000105,2014,cs,"Román o číšníkovi, který touží po společenském vzestupu. Dílo zachycuje proměny české společnosti ve 20. století.",,2,true
postriziny,Postřižiny,,9788000000106,2015,cs,"Autobiograficky laděný román inspirovaný autorovým dětstvím. Vypráví o svérázné rodině a poetice maloměsta.",,2,true
smrt-krasnych-srncu,Smrt krásných srnců,,9788000000107,2017,cs,"Soubor povídek inspirovaných autorovým dětstvím a osudem rodiny během války. Text spojuje humor s melancholií.",,2,true
jak-jsem-potkal-ryby,Jak jsem potkal ryby,,9788000000108,2018,cs,"Povídková kniha s autobiografickými prvky, která zachycuje autorovu vášeň pro rybaření i rodinné vzpomínky.",,2,true
kniska,Kníška,,9788000000109,2003,cs,"Sbírka básní reflektující každodennost i osobní zkušenost. Verše pracují s jednoduchostí a civilním jazykem.",,2,true
bajecna-leta-pod-psa,Báječná léta pod psa,,9788000000110,2019,cs,"Román o rodině žijící v období normalizace. S nadsázkou a ironií zachycuje absurditu totalitní společnosti.",,2,true
text-appeal,Text – appeal,,9788000000111,2008,cs,"Sbírka básní experimentující s jazykem a významem slov. Texty reflektují moderní společnost a mediální svět.",,2,true
dlouhy-siroky-a-kratkozraky,"Dlouhý, Široký a Krátkozraký",,9788000000112,2012,cs,"Humorná divadelní hra inspirovaná pohádkovým motivem. Dílo paroduje hrdinské příběhy a společenské stereotypy.",,2,true
blanik,Blaník,,9788000000113,2012,cs,"Satirická hra navazující na mystifikaci Járy Cimrmana. Kombinuje humor s historickou parodií.",,2,true
dobyti-severniho-polu,Dobytí severního pólu,,9788000000114,2012,cs,"Divadelní komedie parodující dobrodružné výpravy. Typický humor Divadla Járy Cimrmana spojuje mystifikaci a absurditu.",,2,true
vysetrovani-ztraty-tridni-knihy,Vyšetřování ztráty třídní knihy,,9788000000115,2012,cs,"Komedie z prostředí školy, kde se řeší záhadná ztráta třídní knihy. Hra staví na situačním humoru a jazykové nadsázce.",,2,true
cerni-baroni,Černí baroni,,9788000000116,2017,cs,"Satirický román o pomocných technických praporech v 50. letech. Autor líčí absurdní situace vojenského života.",,2,true
hovno-hori,Hovno hoří,,9788000000117,2015,cs,"Soubor povídek zachycujících dospívání během normalizace. Texty kombinují humor, ironii i generační zkušenost.",,2,true
