author_slug,first_name,last_name,birth_date,death_date,biography,portrait
jules-verne,Jules,Verne,1828-02-08,1905-03-24,"Jules Verne byl francouzský spisovatel a jeden ze zakladatelů vědeckofantastické literatury. Ve svých dobrodružných románech, jako jsou Dvacet tisíc mil pod mořem či Cesta kolem světa za 80 dní, spojoval vědecké poznatky s fantazií. Jeho díla předvídala mnohé technické vynálezy moderní doby.",authors/portraits/jules-verne.jpg
bram-stoker,Bram,Stoker,1847-11-08,1912-04-20,"Bram Stoker byl irský spisovatel, nejvíce známý jako autor gotického románu Drákula. Jeho dílo zásadně ovlivnilo podobu moderní hororové literatury a vytvořilo ikonickou postavu upíra hraběte Drákuly.",authors/portraits/bram-stoker.jpg
robert-louis-stevenson,Robert Louis,Stevenson,1850-11-13,1894-12-03,"Robert Louis Stevenson byl skotský spisovatel dobrodružné literatury. Proslul romány Ostrov pokladů a Podivný případ doktora Jekylla a pana Hyda. Ve svých dílech spojoval napětí, dobrodružství a psychologickou hloubku.",authors/portraits/robert-louis-stevenson.jpg
oscar-wilde,Oscar,Wilde,1854-10-16,1900-11-30,"Oscar Wilde byl irský dramatik, prozaik a básník, představitel esteticismu. Proslul románem Obraz Doriana Graye a brilantními společenskými komediemi. Jeho díla se vyznačují vtipem, ironií a kritikou viktoriánské společnosti.",authors/portraits/oscar-wilde.jpg
guy-de-maupassant,Guy de,Maupassant,1850-08-05,1893-07-06,Guy de Maupassant byl francouzský prozaik a mistr krátké povídky. Ve svých realistických a naturalistických dílech zobrazoval lidské vášně a společenské poměry 19. století. Mezi jeho známé práce patří Miláček a Kulička.,authors/portraits/guy-de-maupassant.jpg
jane-austenova,Jane,Austenová,1775-12-16,1817-07-18,"Jane Austenová byla anglická spisovatelka, jejíž romány analyzují vztahy, morálku a postavení žen v anglické společnosti přelomu 18. a 19. století. Nejznámější jsou Pýcha a předsudek a Rozum a cit.",authors/portraits/jane-austenova.jpg
karel-hynek-macha,Karel Hynek,Mácha,1810-11-16,1836-11-06,"Karel Hynek Mácha byl český básník a představitel romantismu. Jeho nejvýznamnějším dílem je lyricko-epická báseň Máj, která se stala základním kamenem české moderní poezie.",authors/portraits/karel-hynek-macha.jpg
karel-jaromir-erben,Karel Jaromír,Erben,1811-11-07,1870-11-21,"Karel Jaromír Erben byl český básník, sběratel lidové slovesnosti a historik. Proslul především baladickou sbírkou Kytice, která čerpá z českých lidových pověstí a legend.",authors/portraits/karel-jaromir-erben.jpg
karel-havlicek-borovsky,Karel,Havlíček Borovský,1821-10-31,1856-07-29,"Karel Havlíček Borovský byl český novinář, satirik a politik. Ve svých dílech kritizoval absolutismus a společenské poměry své doby. Patří k významným osobnostem českého národního obrození.",authors/portraits/karel-havlicek-borovsky.jpg
jan-neruda,Jan,Neruda,1834-07-09,1891-08-22,"Jan Neruda byl český básník, prozaik a novinář, člen májovců. Proslul zejména sbírkou Povídky malostranské, v níž realisticky zachytil život pražské Malé Strany.",authors/portraits/jan-neruda.jpg
a-mrstik,Alois,Mrštík,1776-05-07,1836-02-24,"Alois Mrštík je spoluautorem dramatu Maryša. Dílo vzniklo ve spolupráci sourozenců Mrštíkových a patří k vrcholům českého realismu v dramatu.",authors/portraits/a-mrstikova.jpg
v-mrstik,Vilém,Mrštíková,1863-05-14,1912-03-02,"Vilém Mrštík je spoluautorem dramatu Maryša. Drama realisticky zachycuje venkovské prostředí a tragický osud hlavní hrdinky.",authors/portraits/v-mrstikova.jpg
bozena-nemcova,Božena,Němcová,1820-02-04,1862-01-21,"Božena Němcová byla česká spisovatelka období národního obrození. Je autorkou prózy Babička a řady pohádek a povídek, které patří ke klasice české literatury.",authors/portraits/bozena-nemcova.jpg
gabriela-preissova,Gabriela,Preissová,1862-03-23,1946-03-27,"Gabriela Preissová byla česká spisovatelka a dramatička, představitelka realismu. Ve svých hrách zobrazovala moravské venkovské prostředí a sociální konflikty.",authors/portraits/gabriela-preissova.jpg
jack-london,Jack,London,1876-01-12,1916-11-22,"Jack London byl americký spisovatel a novinář, autor dobrodružných románů inspirovaných vlastními zkušenostmi. Proslul díly jako Volání divočiny a Bílý tesák.",authors/portraits/jack-london.jpg
arthur-conan-doyle,Arthur Conan,Doyle,1859-05-22,1930-07-07,"Arthur Conan Doyle byl britský spisovatel, známý především jako autor detektivních příběhů o Sherlocku Holmesovi. Jeho tvorba významně ovlivnila vývoj detektivního žánru.",authors/portraits/arthur-conan-doyle.jpg
george-bernard-shaw,George Bernard,Shaw,1856-07-26,1950-11-02,George Bernard Shaw byl irský dramatik a nositel Nobelovy ceny za literaturu. Ve svých hrách spojoval humor s ostrou společenskou kritikou.,authors/portraits/george-bernard-shaw.jpg
erich-maria-remarque,Erich Maria,Remarque,1898-06-22,1970-09-25,"Erich Maria Remarque byl německý spisovatel, známý protiválečnými romány. Nejznámější je Na západní frontě klid, realistické svědectví o hrůzách první světové války.",authors/portraits/erich-maria-remarque.jpg
romain-rolland,Romain,Rolland,1866-01-29,1944-12-30,Romain Rolland byl francouzský spisovatel a nositel Nobelovy ceny za literaturu. Ve své tvorbě zdůrazňoval humanismus a pacifismus.,authors/portraits/romain-rolland.jpg
antoine-de-saint-exupery,Antoine de,Saint-Exupéry,1900-06-29,1944-07-31,"Antoine de Saint-Exupéry byl francouzský spisovatel, letec a humanista. Proslavil se zejména filozofickou pohádkou Malý princ, která patří k nejpřekládanějším knihám na světě. Ve svých dílech často spojoval zkušenosti pilota s úvahami o odpovědnosti, přátelství a lidskosti.",authors/portraits/antoine-de-saint-exupery.jpg
john-ronald-reuel-tolkien,John Ronald Reuel,Tolkien,1892-01-03,1973-09-02,"John Ronald Reuel Tolkien byl britský spisovatel, filolog a profesor na Oxfordské univerzitě. Je považován za zakladatele moderní epické fantasy. Proslul díly Hobit a Pán prstenů, v nichž vytvořil propracovaný svět Středozemě.",authors/portraits/john-ronald-reuel-tolkien.jpg
alexandr-solzenicyn,Alexandr,Solženicyn,1918-12-11,2008-08-03,"Alexandr Solženicyn byl ruský spisovatel a nositel Nobelovy ceny za literaturu. Ve svých dílech, například Jeden den Ivana Děnisoviče a Souostroví Gulag, odhaloval represivní systém sovětských pracovních táborů.",authors/portraits/alexandr-solzenicyn.jpg
john-steinbeck,John,Steinbeck,1902-02-27,1968-12-20,"John Steinbeck byl americký spisovatel a nositel Nobelovy ceny za literaturu. Ve svých románech, například O myších a lidech či Hrozny hněvu, zobrazoval sociální problémy a život obyčejných lidí v době hospodářské krize.",authors/portraits/john-steinbeck.jpg
ernest-hemingway,Ernest,Hemingway,1899-07-21,1961-07-02,"Ernest Hemingway byl americký spisovatel a novinář, nositel Nobelovy ceny za literaturu. Proslul úsporným stylem psaní a díly jako Stařec a moře, Sbohem armádo nebo Komu zvoní hrana.",authors/portraits/ernest-hemingway.jpg
patrick-ryan,Patrick,Ryan,1916-01-01,1989-01-01,"Patrick Ryan byl britský spisovatel a satirik. Nejznámější je jeho protiválečný román Jak jsem vyhrál válku, který s nadsázkou a ironií zachycuje absurditu vojenského prostředí během druhé světové války.",authors/portraits/patrick-ryan.jpg
isaac-asimov,Isaac,Asimov,1920-01-02,1992-04-06,"Isaac Asimov byl americký spisovatel ruského původu, biochemik a popularizátor vědy. Patří k nejvýznamnějším autorům science fiction. Proslul zejména cykly Nadace a Já, robot a formuloval slavné tři zákony robotiky.",authors/portraits/isaac-asimov.jpg
arkadij-strugackij,Arkadij,Strugackij,1925-08-28,1991-10-12,"Arkadij Strugackij byl sovětský spisovatel, který spolu se svým bratrem Borisem vytvořil významná díla science fiction. Mezi jejich nejznámější knihy patří Piknik u cesty.",authors/portraits/arkadij-strugacti.jpg
boris-strugackij,Boris,Strugackij,1933-04-14,2012-11-19,"Boris Strugackij byl sovětský a ruský spisovatel science fiction. Společně s bratrem Arkadijem vytvořil řadu významných románů, které reflektují etické a společenské otázky moderní civilizace.",authors/portraits/boris-strugacti.jpg
jack-kerouac,Jack,Kerouac,1922-03-12,1969-10-21,"Jack Kerouac byl americký spisovatel a hlavní představitel beat generation. Proslul románem Na cestě, který zachycuje touhu po svobodě, spontánnost a generační vzdor poválečné Ameriky.",authors/portraits/jack-kerouac.jpg
tennessee-williams,Tennessee,Williams,1911-03-26,1983-02-25,"Tennessee Williams byl americký dramatik, jehož hry se zaměřují na psychologii postav a mezilidské vztahy. Mezi jeho nejslavnější díla patří Tramvaj do stanice Touha.",authors/portraits/tennessee-williams.jpg
eugene-ionesco,Eugéne,Ionesco,1909-11-26,1994-03-28,"Eugène Ionesco byl francouzský dramatik rumunského původu a představitel absurdního divadla. Proslul hrami jako Plešatá zpěvačka, které zpochybňují smysl komunikace a lidského jednání.",authors/portraits/eugene-ionesco.jpg
william-styron,William,Styron,1925-06-11,2006-11-01,"William Styron byl americký spisovatel. Je autorem románu Sophiina volba, který se zabývá tragickými důsledky druhé světové války a morálními dilematy jednotlivce.",authors/portraits/william-styron.jpg
anne-frankova,Anne,Franková,1929-06-12,,"Anne Franková byla německo-nizozemská židovská dívka, která se proslavila posmrtně vydaným Deníkem Anny Frankové. Deník zachycuje její život v úkrytu během nacistické okupace a patří k nejvýznamnějším svědectvím o holokaustu.",authors/portraits/anne-frankova.jpg
agatha-christie,Agatha,Christie,1890-09-15,1976-01-12,Agatha Christie byla britská spisovatelka a jedna z nejúspěšnějších autorek detektivní literatury. Vytvořila postavy Hercula Poirota a slečny Marplové. Mezi její nejznámější romány patří Vražda Rogera Ackroyda.,authors/portraits/agatha-christie.jpg
ken-kesey,Ken,Kesey,1935-09-17,2001-11-10,"Ken Kesey byl americký spisovatel spojený s kontrakulturním hnutím 60. let. Proslul románem Vyhoďme ho z kola ven, který kriticky zobrazuje psychiatrickou instituci a otázky svobody jednotlivce.",authors/portraits/ken-kesey.jpg
paulo-coelho,Paulo,Coelho,1947-08-24,,"Paulo Coelho je brazilský spisovatel, jehož romány mají výrazný duchovní a filozofický rozměr. Celosvětově proslul knihou Alchymista, která patří k nejprodávanějším titulům moderní literatury.",authors/portraits/paulo-coelho.jpg
robert-merle,Robert,Merle,1908-08-29,2004-03-27,"Robert Merle byl francouzský spisovatel, známý historickými a společensko-kritickými romány. Mezi jeho významná díla patří Smrt je mým řemeslem, které zpracovává téma nacismu.",authors/portraits/robert-merle.jpg
mario-puzo,Mario,Puzo,1920-10-15,1999-07-02,"Mario Puzo byl americký spisovatel italského původu. Proslavil se románem Kmotr, který realisticky zachycuje prostředí mafiánských rodin a stal se předlohou slavného filmového zpracování.",authors/portraits/mario-puzo.jpg
john-wyndham,John,Wyndham,1903-07-10,1969-03-11,John Wyndham byl britský autor science fiction. Jeho román Den trifidů patří k nejznámějším dílům postapokalyptické literatury a zabývá se tématy přežití a civilizačního kolapsu.,authors/portraits/john-wyndham.jpg
terry-pratchett,Terry,Pratchett,1948-04-28,2015-03-12,"Terry Pratchett byl britský spisovatel fantasy literatury, známý sérií Úžasná Zeměplocha. Jeho tvorba spojuje humor, satiru a hlubší společenské postřehy.",authors/portraits/terry-pratchett.jpg
neil-gaiman,Neil,Gaiman,1960-11-10,,"Neil Gaiman je britský spisovatel fantasy a sci-fi literatury. Proslul romány Američtí bohové či Dobrá znamení (napsané společně s Terrym Pratchettem). Jeho tvorba propojuje mytologii, fantazii a moderní svět.",authors/portraits/neil-gaiman.jpg
douglas-adams,Douglas,Adams,1952-03-11,2001-05-11,"Douglas Adams byl britský spisovatel a humorista. Proslavil se sci-fi sérií Stopařův průvodce Galaxií, která kombinuje absurdní humor a satiru.",authors/portraits/douglas-adams.jpg
vladimir-nabokov,Vladimir,Nabokov,1899-04-22,1977-07-02,"Vladimir Nabokov byl rusko-americký spisovatel a literární vědec. Je autorem románu Lolita, který vyvolal rozsáhlé diskuse pro své kontroverzní téma a stylistickou brilantnost.",authors/portraits/vladimir-nabokov.jpg
william-golding,William,Golding,1911-09-19,1993-06-19,William Golding byl britský spisovatel a nositel Nobelovy ceny za literaturu. Jeho román Pán much analyzuje temné stránky lidské povahy a společenské struktury.,authors/portraits/william-golding.jpg
george-orwell,George,Orwell,1903-06-25,1950-01-21,"George Orwell byl britský spisovatel a novinář. Proslul dystopickými romány 1984 a Farma zvířat, které kriticky reflektují totalitní režimy a manipulaci s pravdou.",authors/portraits/george-orwell.jpg
ray-bradbury,Ray,Bradbury,1920-08-22,2012-06-05,"Ray Bradbury byl americký spisovatel science fiction a fantasy. Mezi jeho nejznámější díla patří Marťanská kronika a 451 stupňů Fahrenheita, která varuje před cenzurou a úpadkem kultury.",authors/portraits/ray-bradbury.jpg
francis-scott-fitzgerald,Francis Scott,Fitzgerald,1896-09-24,1940-12-21,"Francis Scott Fitzgerald byl americký spisovatel a představitel tzv. ztracené generace. Proslul románem Velký Gatsby, který zachycuje atmosféru amerických dvacátých let.",authors/portraits/francis-scott-fitzgerald.jpg
stephen-king,Stephen,King,1947-09-21,,"Stephen King je americký spisovatel, jeden z nejúspěšnějších autorů současnosti. Proslul hororovými a thrillerovými romány, například Carrie či To.",authors/portraits/stephen-king.jpg
andrzej-sapkowski,Andrzej,Sapkowski,1948-06-21,,"Andrzej Sapkowski je polský spisovatel fantasy literatury. Celosvětově známý je především díky sérii Zaklínač, která byla adaptována do videoher i televizního seriálu.",authors/portraits/andrzej-sapkowski.jpg
george-r-r-martin,George R. R.,Martin,1948-09-20,,"George R. R. Martin je americký spisovatel fantasy a sci-fi. Je autorem ságy Píseň ledu a ohně, která se stala předlohou seriálu Hra o trůny.",authors/portraits/george-r-r-martin.jpg
albert-camus,Albert,Camus,1913-11-07,1960-01-04,"Albert Camus byl francouzský spisovatel, filozof a nositel Nobelovy ceny za literaturu. Ve svých dílech, například Cizinec, rozvíjel filozofii absurdity a existencialismu.",authors/portraits/albert-camus.jpg
charles-bukowski,Charles,Bukowski,1920-08-16,1994-03-09,Charles Bukowski byl americký spisovatel a básník německého původu. Jeho tvorba se vyznačuje syrovým stylem a zachycuje život na okraji společnosti.,authors/portraits/charles-bukowski.jpg
viktor-dyk,Viktor,Dyk,1877-12-31,1931-05-14,"Viktor Dyk byl český básník, prozaik a politik. Proslul zejména novelou Krysař, která se stala jedním z klíčových děl české moderny.",authors/portraits/viktor-dyk.jpg
karel-toman,Karel,Toman,1877-02-25,1946-05-12,Karel Toman byl český básník spojený s generací anarchistických buřičů. Jeho poezie se vyznačuje melancholickým tónem a důrazem na osobní svobodu.,authors/portraits/karel-toman.jpg
petr-bezruc,Petr,Bezruč,1867-09-15,1958-02-17,"Petr Bezruč, vlastním jménem Vladimír Vašek, byl český básník spojený s generací buřičů. Proslul sbírkou Slezské písně, která kriticky zachycuje sociální a národnostní útlak na Ostravsku.",authors/portraits/petr-bezruc.jpg
jaroslav-hasek,Jaroslav,Hašek,1883-04-30,1923-01-03,"Jaroslav Hašek byl český spisovatel a humorista. Proslavil se románem Osudy dobrého vojáka Švejka za světové války, satirickým obrazem absurdity války a byrokracie.",authors/portraits/jaroslav-hasek.jpg
ivan-olbracht,Ivan,Olbracht,1882-01-06,1952-12-20,Ivan Olbracht byl český prozaik a novinář. Ve svých dílech zobrazoval sociální problémy a život na Podkarpatské Rusi. Známý je román Nikola Šuhaj loupežník.,authors/portraits/ivan-olbracht.jpg
karel-capek,Karel,Čapek,1890-01-09,1938-12-25,"Karel Čapek byl český spisovatel, dramatik a novinář. Proslul díly RUR, Válka s mloky či Bílá nemoc. Do světové literatury uvedl pojem „robot“.",authors/portraits/karel-capek.jpg
jiri-voskovec,Jiří,Voskovec,1905-06-19,1981-07-01,"Jiří Voskovec byl český herec, dramatik a spisovatel. Společně s Janem Werichem tvořil slavnou dvojici Osvobozeného divadla, které satiricky reagovalo na politickou situaci meziválečného období.",authors/portraits/jiri-voskovec.jpg
jan-werich,Jan,Werich,1905-02-06,1980-10-31,"Jan Werich byl český herec, dramatik a spisovatel. Spolu s Jiřím Voskovcem vytvářel hry Osvobozeného divadla, které kombinovaly humor, satiru a společenskou kritiku.",authors/portraits/jan-werich.jpg
vladislav-vancura,Vladislav,Vančura,1891-06-23,1942-06-01,"Vladislav Vančura byl český spisovatel, dramatik a filmový režisér. Jeho prózy se vyznačují poetickým jazykem a osobitým stylem. Známý je román Rozmarné léto.",authors/portraits/vladislav-vancura.jpg
karel-polacek,Karel,Poláček,1892-03-22,1945-01-21,Karel Poláček byl český spisovatel a novinář. Ve svých humoristických románech zachycoval život maloměstské společnosti. Je autorem knihy Bylo nás pět.,authors/portraits/karel-polacek.jpg
vitezslav-nezval,Vítězslav,Nezval,1900-05-26,1958-04-06,"Vítězslav Nezval byl český básník, prozaik a dramatik, představitel poetismu a surrealismu. Proslul básnickými sbírkami i dramatem Manon Lescaut.",authors/portraits/vitezslav-nezval.jpg
franz-kafka,Franz,Kafka,1883-07-03,1924-06-03,"Franz Kafka byl německy píšící pražský spisovatel. Jeho díla, například Proměna nebo Proces, zobrazují existenciální úzkost a odcizení moderního člověka.",authors/portraits/franz-kafka.jpg
zdenek-jirotka,Zdeněk,Jirotka,1911-01-07,2003-04-12,"Zdeněk Jirotka byl český spisovatel a fejetonista. Proslul humoristickým románem Saturnin, který patří k nejoblíbenějším českým knihám 20. století.",authors/portraits/zdenek-jirotka.jpg
josef-skvorecky,Josef,Škvorecký,1924-09-27,2012-01-03,"Josef Škvorecký byl český spisovatel a exilový nakladatel. Ve svých románech, například Zbabělci či Prima sezóna, zachycoval atmosféru poválečné společnosti.",authors/portraits/josef-skvorecky.jpg
ladislav-fuks,Ladislav,Fuks,1923-09-24,1994-08-19,"Ladislav Fuks byl český prozaik. Ve svých dílech zobrazoval psychologii jednotlivce v mezních situacích, například v románu Spalovač mrtvol.",authors/portraits/ladislav-fuks.jpg
vaclav-havel,Václav,Havel,1936-10-05,2011-12-18,"Václav Havel byl český dramatik, esejista a politik, pozdější prezident České republiky. Jeho hry, například Audience, kriticky reflektují absurdity totalitního systému.",authors/portraits/vaclav-havel.jpg
milan-kundera,Milan,Kundera,1929-04-01,2023-07-11,"Milan Kundera byl česko-francouzský spisovatel. Ve svých románech, například Nesnesitelná lehkost bytí, analyzoval existenciální otázky a lidské vztahy.",authors/portraits/milan-kundera.jpg
arnost-lustig,Arnošt,Lustig,1926-12-21,2011-02-26,"Arnošt Lustig byl český spisovatel židovského původu. Ve svých dílech, například Modlitba pro Kateřinu Horovitzovou, zobrazoval zkušenosti z období holokaustu.",authors/portraits/arnost-lustig.jpg
jan-otcenasek,Jan,Otčenášek,1924-11-19,1979-02-24,"Jan Otčenášek byl český spisovatel. Proslul románem Romeo, Julie a tma, který zachycuje tragický příběh lásky během nacistické okupace.",authors/portraits/jan-otcenasek.jpg
bohumil-hrabal,Bohumil,Hrabal,1914-03-28,1997-02-03,"Bohumil Hrabal byl český spisovatel, jehož tvorba je charakteristická poetickým jazykem a humorem. Mezi jeho nejznámější díla patří Ostře sledované vlaky a Obsluhoval jsem anglického krále.",authors/portraits/bohumil-hrabal.jpg
ota-pavel,Ota,Pavel,1930-07-02,1973-03-31,"Ota Pavel byl český spisovatel a sportovní novinář. Ve svých autobiografických prózách, například Smrt krásných srnců, spojoval humor a melancholii.",authors/portraits/ota-pavel.jpg
karel-kryl,Karel,Kryl,1944-04-12,1994-03-03,Karel Kryl byl český písničkář a básník. Jeho tvorba byla výrazně spjata s odporem proti totalitnímu režimu po roce 1968.,authors/portraits/karel-kryl.jpg
michal-viewegh,Michal,Viewegh,1962-03-31,,"Michal Viewegh je český spisovatel současné prózy. Proslul romány s ironickým pohledem na mezilidské vztahy, například Báječná léta pod psa.",authors/portraits/michal-viewegh.jpg
jiri-zacek,Jiří,Žáček,1945-11-06,,"Jiří Žáček je český básník, prozaik a autor knih pro děti. Je známý svým hravým jazykem a smyslem pro humor.",authors/portraits/jiri-zacek.jpg
zdenek-sverak,Zdeněk,Svěrák,1936-03-28,,"Zdeněk Svěrák je český scenárista, dramatik a herec. Společně s Ladislavem Smoljakem vytvořil hry Divadla Járy Cimrmana.",authors/portraits/zdenek-sverak.jpg
ladislav-smoljak,Ladislav,Smoljak,1931-12-09,2010-06-06,"Ladislav Smoljak byl český dramatik, scenárista a herec. Spolupracoval se Zdeňkem Svěrákem na hrách Divadla Járy Cimrmana.",authors/portraits/ladislav-smoljak.jpg
miloslav-svandrlik,Miloslav,Švandrlík,1932-08-10,2009-10-26,Miloslav Švandrlík byl český spisovatel a humorista. Proslul satirickým románem Černí baroni.,authors/portraits/miloslav-svandrlik.jpg
petr-sabach,Petr,Šabach,1951-08-23,2017-09-16,"Petr Šabach byl český spisovatel, jehož prózy se vyznačují humorem a nadsázkou. Známé jsou například knihy Hovno hoří nebo Šakalí léta.",authors/portraits/petr-sabach.jpg
